sample_id,genotype,species
LA0407_1,LA0407,habrochaites
LA0407_2,LA0407,habrochaites
LA0407_3,LA0407,habrochaites
LA0407_4,LA0407,habrochaites
LA0716_1,LA0716,pennellii
LA0716_2,LA0716,pennellii
LA0716_3,LA0716,pennellii
LA0716_4,LA0716,pennellii
LA0735_1,LA0735,neorickii 
LA0735_2,LA0735,neorickii 
LA1278_1,LA1278,peruvianum 
LA1278_2,LA1278,peruvianum 
LA1278_3,LA1278,peruvianum 
LA1278_4,LA1278,peruvianum 
LA1364_1,LA1364,huaylasense 
LA1364_2,LA1364,huaylasense 
LA1364_3,LA1364,huaylasense 
LA1364_4,LA1364,huaylasense 
LA1401_1,LA1401,cheesmaniae
LA1401_2,LA1401,cheesmaniae
LA1401_3,LA1401,cheesmaniae
LA1401_4,LA1401,cheesmaniae
LA1578_1,LA1578,pimpinellifolium 
LA1578_3,LA1578,pimpinellifolium 
LA1578_4,LA1578,pimpinellifolium 
LA1718_1,LA1718,habrochaites
LA1718_2,LA1718,habrochaites
LA1718_3,LA1718,habrochaites
LA1718_4,LA1718,habrochaites
LA1777_1,LA1777,habrochaites
LA1777_2,LA1777,habrochaites
LA1777_3,LA1777,habrochaites
LA1777_4,LA1777,habrochaites
LA1840_1,LA1840,chmielewskii 
LA1840_2,LA1840,chmielewskii 
LA1840_3,LA1840,chmielewskii 
LA1840_4,LA1840,chmielewskii 
LA1954_1,LA1954,peruvianum 
LA1954_2,LA1954,peruvianum 
LA2133_1,LA2133,neorickii 
LA2133_2,LA2133,neorickii 
LA2133_3,LA2133,neorickii 
LA2133_4,LA2133,neorickii 
LA2172_1,LA2172,arcanum
LA2172_2,LA2172,arcanum
LA2172_3,LA2172,arcanum
LA2172_4,LA2172,arcanum
LA2386_1,LA2386,lycopersicoides
LA2386_2,LA2386,lycopersicoides
LA2386_3,LA2386,lycopersicoides
LA2695_1,LA2695,chmielewskii 
LA2695_3,LA2695,chmielewskii 
LA2695_4,LA2695,chmielewskii 
LA4024_1,LA4024,lycopersicum
LA4024_2,LA4024,lycopersicum
LA4024_3,LA4024,lycopersicum
LA4024_4,LA4024,lycopersicum
LYC4_1,LYC4,habrochaites
LYC4_2,LYC4,habrochaites
LYC4_3,LYC4,habrochaites
LYC4_4,LYC4,habrochaites
Moneymaker_1,Moneymaker,lycopersicum
Moneymaker_2,Moneymaker,lycopersicum
Moneymaker_3,Moneymaker,lycopersicum
Moneymaker_4,Moneymaker,lycopersicum
PI127826_1,PI127826,habrochaites
PI127826_2,PI127826,habrochaites
PI127826_3,PI127826,habrochaites
PI127826_4,PI127826,habrochaites
PI134418_1,PI134418,habrochaites
PI134418_2,PI134418,habrochaites
PI134418_3,PI134418,habrochaites
PI134418_4,PI134418,habrochaites