sample_id,sample,genotype, tissue           ,fq1,fq2
"S31	",Moneymaker_bald_stem_01,Moneymaker,bald stem,/zfs/omics/personal/mgallan1/gls/marc/tissues/S31_R1_001.fastq.gz,
"S32	",Moneymaker_bald_stem_02,Moneymaker,bald stem,/zfs/omics/personal/mgallan1/gls/marc/tissues/S32_R1_001.fastq.gz,
"S33	",Moneymaker_bald_stem_03,Moneymaker,bald stem,/zfs/omics/personal/mgallan1/gls/marc/tissues/S33_R1_001.fastq.gz,
"S34	",PI127826_bald_stem_01,PI127826,bald stem,/zfs/omics/personal/mgallan1/gls/marc/tissues/S34_R1_001.fastq.gz,
"S35	",PI127826_bald_stem_02,PI127826,bald stem,/zfs/omics/personal/mgallan1/gls/marc/tissues/S35_R1_001.fastq.gz,
"S36	",PI127826_bald_stem_03,PI127826,bald stem,/zfs/omics/personal/mgallan1/gls/marc/tissues/S36_R1_001.fastq.gz,
"S37	",LA0716_bald_stem_01,LA0716,bald stem,/zfs/omics/personal/mgallan1/gls/marc/tissues/S37_R1_001.fastq.gz,
"S38	",LA0716_bald_stem_02,LA0716,bald stem,/zfs/omics/personal/mgallan1/gls/marc/tissues/S38_R1_001.fastq.gz,
"S39	",LA0716_bald_stem_03,LA0716,bald stem,/zfs/omics/personal/mgallan1/gls/marc/tissues/S39_R1_001.fastq.gz,
"S40	",Moneymaker_leaf_01,Moneymaker,leaf             ,/zfs/omics/personal/mgallan1/gls/marc/tissues/S40_R1_001.fastq.gz,
"S41	",Moneymaker_leaf_02,Moneymaker,leaf             ,/zfs/omics/personal/mgallan1/gls/marc/tissues/S41_R1_001.fastq.gz,
"S42	",Moneymaker_leaf_03,Moneymaker,leaf             ,/zfs/omics/personal/mgallan1/gls/marc/tissues/S42_R1_001.fastq.gz,
"S43	",PI127826_leaf_01,PI127826,leaf             ,/zfs/omics/personal/mgallan1/gls/marc/tissues/S43_R1_001.fastq.gz,
"S44	",PI127826_leaf_02,PI127826,leaf             ,/zfs/omics/personal/mgallan1/gls/marc/tissues/S44_R1_001.fastq.gz,
"S45	",PI127826_leaf_03,PI127826,leaf             ,/zfs/omics/personal/mgallan1/gls/marc/tissues/S45_R1_001.fastq.gz,
"S46	",LA0716_leaf_01,LA0716,leaf             ,/zfs/omics/personal/mgallan1/gls/marc/tissues/S46_R1_001.fastq.gz,
"S47	",LA0716_leaf_02,LA0716,leaf             ,/zfs/omics/personal/mgallan1/gls/marc/tissues/S47_R1_001.fastq.gz,
"S48	",LA0716_leaf_03,LA0716,leaf             ,/zfs/omics/personal/mgallan1/gls/marc/tissues/S48_R1_001.fastq.gz,