sample,genotype,tissue
S01,OE,leaf
S02,OE,stem_trichomes
S03,KD,leaf
S04,KD,stem_trichomes
S05,KO,leaf
S06,KO,stem_trichomes
S07,WT,leaf
S08,WT,stem_trichomes
S09,OE,leaf
S10,OE,stem_trichomes
S11,OE,leaf
S12,OE,stem_trichomes
S13,OE,leaf
S14,OE,stem_trichomes
S15,KD,leaf
S16,KD,stem_trichomes
S17,OE,leaf
S18,OE,stem_trichomes
S19,KD,leaf
S20,KD,stem_trichomes
S21,KO,leaf
S22,KO,stem_trichomes
S23,KD,leaf
S24,KD,stem_trichomes
S25,KO,leaf
S26,KO,stem_trichomes
S27,WT,leaf
S28,WT,stem_trichomes
S29,OE,leaf
S30,OE,stem_trichomes
S31,KO,leaf
S32,KO,stem_trichomes
S33,KO,leaf
S34,KO,stem_trichomes
S35,OE,leaf
S36,OE,stem_trichomes
S37,OE,leaf
S38,OE,stem_trichomes
S39,OE,leaf
S40,OE,stem_trichomes
S41,KD,leaf
S42,KD,stem_trichomes
S43,OE,leaf
S44,OE,stem_trichomes
S45,OE,leaf
S46,OE,stem_trichomes
S47,OE,leaf
S48,OE,stem_trichomes
S49,OE,leaf
S50,OE,stem_trichomes
S51,OE,leaf
S52,OE,stem_trichomes
S53,OE,leaf
S54,OE,stem_trichomes
S55,WT,leaf
S56,WT,stem_trichomes
S57,WT,leaf
S58,WT,stem_trichomes
S59,WT,leaf
S60,WT,stem_trichomes